Name,Brand,Price,Rating,Processor_name,Threads,RAM_GB,RAM_type,Storage,Storage_type,Graphics_name,Display_size,Touch_screen,OS
HP Pavilion 15,HP,69990,3.14,AMD Ryzen 7,16,16,DDR4,1000, SSD,AMD Radeon Vega 8 Graphics,15.6,FALSE,Windows 11 OS
Acer Aspire Lite,Acer,34299,3.06,Intel Core i3,8,16,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
MSI Titan 18,MSI,599990,3.81,Intel Core i9,12.81790123,32,DDR5,2000, SSD,NVIDIA GeForce RTX 4090,18,FALSE,Windows 11 OS
Samsung Galaxy Book,Samsung,199990,2.74,Intel Core Ultra,22,16,LPDDR5X,512, SSD,Intel Arc Graphics,16,TRUE,Windows 11 OS
Xiaomi Redmi Book,Xiaomi,52990,2.92,Intel Core i5,16,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,16,FALSE,Windows 11 OS
Acer Aspire Lite,Acer,32390,2.92,Intel Core i3,8,8,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Asus TUF Gaming,Asus,53990,3.16,Intel Core i5,12,8,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,52499,3.08,AMD Ryzen 5,12,16,DDR4,512, SSD,AMD Radeon RX 6500M Graphics,15.6,FALSE,Windows 11 OS
Acer Aspire Lite,Acer,37490,3.18,AMD Ryzen 5,12,16,DDR4,512, SSD,AMD Graphics,15.6,FALSE,Windows 11 OS
HP Omen 16,HP,89990,3.22,Intel Core i5,12,16,DDR5,512, SSD,NVIDIA GeForce RTX 4050,16.1,FALSE,Windows 11 OS
Asus Vivobook 15,Asus,64990,2.88,Intel Core i7,16,16,DDR4,512, SSD,Intel Iris Xe,15.6,FALSE,Windows 11 OS
Dell Latitude 3420,Dell,38500,2.65,Intel Core i5,8,8,DDR4,512, SSD,Intel UHD Graphics,14,FALSE,Ubuntu OS
Acer Aspire 7,Acer,57990,3.31,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce GTX 3050,15.6,FALSE,Windows 11 OS
Asus TUF Gaming,Asus,89990,3.17,AMD Ryzen 7,16,16,DDR5,512, SSD,NVIDIA GeForce RTX 4050,15.6,FALSE,Windows 11 OS
HP Envy x360,HP,133999,3.23,Intel Core Ultra,14,32,LPDDR5,1000, SSD,Integrated Intel Graphics,14,TRUE,Windows 11 OS
Asus Vivobook Pro,Asus,149990,3.29,Intel Core i9,20,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4050,16,FALSE,Windows 11 OS
HP Omen 16,HP,112990,3.27,AMD Ryzen 7,16,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3070 Ti,16.1,FALSE,Windows 11 OS
Acer Nitro 5,Acer,69990,3.22,AMD Ryzen 7,16,16,DDR5,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
HP 15s eq2223AU,HP,38990,3,AMD Ryzen 5,12,8,DDR4,512, SSD,AMD Radeon AMD,15.6,FALSE,Windows 11 OS
Dell Latitude 3430,Dell,108000,2.62,Intel Core i5,12,8,DDR4,512, SSD,Intel Iris Xe Graphics,14,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,55390,2.91,Intel Core i5,12,16,LPDDR5,512, SSD,Intel Integrated UHD Graphics,15.6,FALSE,Windows 11 OS
Samsung Galaxy Book,Samsung,70990,2.69,Intel Core 5,12,8,LPDDR4X,512, SSD,Intel Graphics,15.6,FALSE,Windows 11 OS
MSI Vector 16,MSI,197990,3.6,Intel Core i7,28,32,DDR5,1000, SSD,NVIDIA GeForce RTX 4070,16,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,35500,2.88,Intel Core i3,4,8,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Acer Aspire Lite,Acer,49499,2.94,Intel Core i7,8,16,DDR4,512, SSD,Intel Iris Xe Graphics,15.6,FALSE,Windows 11 OS
HP Envy x360,HP,122000,3.31,Intel Core i7,12,16,LPDDR5,1000, SSD,NVIDIA GeForce RTX 3050,15.6,TRUE,Windows 11 OS
Lenovo V14 82TS005DIH,Lenovo,43490,2.61,Intel Core i5,12,8,DDR4,512, SSD,Intel Integrated UHD,14,FALSE,DOS OS
Lenovo IdeaPad Slim,Lenovo,79990,2.96,Intel Core Ultra,18,16,LPDDR5,1000, SSD,Intel Arc Graphics,14,FALSE,Windows 11 OS
HP Omen 14,HP,175999,3.27,Intel Core Ultra,22,16,LPDDR5X,1000, SSD,NVIDIA GeForce RTX 4060,14,FALSE,Windows 11 OS
HP Omen 16,HP,135999,3.58,AMD Ryzen 7,16,32,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,16,FALSE,Windows 11 OS
HP Victus 15,HP,58490,3.14,Intel Core i5,12,8,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,53490,2.92,Intel Core i5,12,16,LPDDR5,512, SSD,Intel Integrated UHD Graphics,15.6,FALSE,Windows 11 OS
Lenovo Legion Pro,Lenovo,149990,3.63,Intel Core i9,32,32,DDR5,1000, SSD,NVIDIA GeForce RTX 4070,16,FALSE,Windows 11 OS
Infinix INBook Y2,Infinix,33990,3.07,Intel Core i5,8,16,LPDDR4X,512, SSD,Intel Integrated Iris Xe,15.6,FALSE,Windows 11 OS
Lenovo IdeaPad Gaming,Lenovo,69990,3.22,AMD Ryzen 7,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,65990,3.4,Intel Core i5,12,16,DDR4,1000, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Dell Inspiron 3530,Dell,69990,2.86,Intel Core i7,12,16,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Infinix INBook Y1,Infinix,25990,3.02,Intel Core i5,8,8,LPDDR4X,512, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
HP 15s fq5185TU,HP,36512,2.87,Intel Core i3,8,8,DDR4,512, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
